"","Symbol","freq_bill_code","freq_customer_code","FullName"
"5853","967",1,1,"盈峰环境科技集团股份有限公司"
"5855","969",361,383,"安泰科技股份有限公司"
"6235","970",2,2,"北京中科三环高技术股份有限公司"
"6239","971",2,2,"高升控股股份有限公司"
"6243","973",7,207,"佛山佛塑科技集团股份有限公司"
"6267","975",2,6,"银泰资源股份有限公司"
"6269","977",4,30,"浪潮电子信息产业股份有限公司"
"6270","977",4,30,"迪堡金融设备有限公司"
"6288","978",10,127,"桂林旅游股份有限公司"
"6302","980",39,43,"众泰汽车股份有限公司"
"6343","981",21,21,"银亿股份有限公司"
"6364","982",3,16,"宁夏中银绒业股份有限公司"
"6375","983",5,5,"山西西山煤电股份有限公司"
"6380","985",1,1,"大庆华科股份有限公司"
"6382","987",1,1,"广州越秀金融控股集团股份有限公司"
"6383","989",2,2,"九芝堂股份有限公司"
"6386","990",113,226,"诚志股份有限公司"
"6499","997",2,2,"福建新大陆电脑股份有限公司"
"6503","998",1,1,"袁隆平农业高科技股份有限公司"
"6505","999",1,38,"华润三九医药股份有限公司"
"6510","1696",4,14,"重庆宗申动力机械股份有限公司"
"6515","1965",3,3,"招商局公路网络科技控股股份有限公司"
"6519","1979",1,1,"招商局蛇口工业区控股股份有限公司"
"6521","2001",3,5,"浙江新和成股份有限公司"
"6530","2002",3,3,"鸿达兴业股份有限公司"
"6533","2003",53,57,"浙江伟星实业发展股份有限公司"
"6639","2005",45,47,"广东德豪润达电气股份有限公司"
"6686","2006",1,1,"浙江精功科技股份有限公司"
"6688","2007",3,13,"华兰生物工程股份有限公司"
"6713","2008",23,32,"大族激光科技产业集团股份有限公司"
"6761","2009",2,2,"天奇自动化工程股份有限公司"
"6764","2010",9,10,"传化智联股份有限公司"
"6777","2011",1,1,"浙江盾安人工环境股份有限公司"
"6779","2012",1,1,"浙江凯恩特种材料股份有限公司"
"6781","2014",2,2,"黄山永新股份有限公司"
"6784","2015",1,1,"江苏霞客环保色纺股份有限公司"
"6786","2017",6,13,"东信和平科技股份有限公司"
"6798","2018",1,1,"安徽华信国际控股股份有限公司"
"6800","2019",2,7,"亿帆医药股份有限公司"
"6807","2020",3,4,"浙江京新药业股份有限公司"
"6812","2021",1,1,"中捷资源投资股份有限公司"
"6814","2022",2,5,"上海科华生物工程股份有限公司"
"6824","2023",1,1,"四川海特高新技术股份有限公司"
"6826","2024",19,34,"苏宁易购集团股份有限公司"
"6857","2025",8,8,"贵州航天电器股份有限公司"
"6870","2026",2,2,"山东威达机械股份有限公司"
"6874","2028",10,44,"思源电气股份有限公司"
"6893","2029",7,9,"福建七匹狼实业股份有限公司"
"6901","2030",5,13,"中山大学达安基因股份有限公司"
"6917","2030",5,13,"苏汉东"
"6922","2031",2,2,"巨轮智能装备股份有限公司"
"6926","2032",13,14,"浙江苏泊尔股份有限公司"
"6942","2034",1,9,"旺能环境股份有限公司"
"6944","2035",1,3,"华帝股份有限公司"
"6949","2036",1,13,"联创电子科技股份有限公司"
"6953","2038",5,8,"北京双鹭药业股份有限公司"
"6969","2040",95,121,"南京港股份有限公司"
"7065","2041",1,1,"山东登海种业股份有限公司"
"7067","2042",1,1,"华孚时尚股份有限公司"
"7069","2045",3,3,"国光电器股份有限公司"
"7073","2046",13,25,"洛阳轴研科技股份有限公司"
"7095","2047",4,4,"深圳市宝鹰建设控股集团股份有限公司"
"7099","2048",2,13,"宁波华翔电子股份有限公司"
"7103","2049",1,1,"紫光国芯股份有限公司"
"7104","2050",4,5,"浙江三花股份有限公司"
"7105","2050",4,5,"浙江三花智能控制股份有限公司"
"7108","2051",48,56,"中工国际工程股份有限公司"
"7164","2052",1,1,"深圳市同洲电子股份有限公司"
"7166","2053",1,1,"云南能源投资股份有限公司"
"7167","2054",1,1,"广东德美精细化工股份有限公司"
"7168","2055",1,1,"深圳市得润电子股份有限公司"
"7170","2056",6,7,"横店集团东磁股份有限公司"
"7178","2057",2,2,"中钢集团安徽天源科技股份有限公司"
"7182","2059",14,91,"云南旅游股份有限公司"
"7197","2060",3,3,"广东水电二局股份有限公司"
"7202","2061",12,12,"浙江交通科技股份有限公司"
"7216","2062",6,6,"宏润建设集团股份有限公司"
"7226","2063",19,28,"远光软件股份有限公司"
"7264","2064",5,17,"浙江华峰氨纶股份有限公司"
"7273","2065",6,6,"东华软件股份公司"
"7281","2066",5,5,"瑞泰科技股份有限公司"
"7287","2067",1,1,"浙江景兴纸业股份有限公司"
"7289","2068",1,1,"江西黑猫炭黑股份有限公司"
"7291","2069",4,4,"獐子岛集团股份有限公司"
"7297","2070",11,11,"福建众和股份有限公司"
"7311","2071",3,3,"长城影视股份有限公司"
"7314","2073",30,60,"软控股份有限公司"
"7352","2074",2,2,"国轩高科股份有限公司"
"7354","2075",6,6,"江苏沙钢股份有限公司"
"7360","2076",2,2,"广东雪莱特光电科技股份有限公司"
"7363","2077",10,21,"江苏大港股份有限公司"
"7373","2078",5,9,"山东太阳纸业股份有限公司"
"7380","2079",2,2,"苏州固锝电子股份有限公司"
"7384","2080",230,341,"中材科技股份有限公司"
"7633","2081",23,33,"苏州金螳螂建筑装饰股份有限公司"
"7679","2082",1,3,"浙江栋梁新材股份有限公司"
"7680","2083",4,7,"孚日集团股份有限公司"
"7689","2084",1,1,"广州海鸥住宅工业股份有限公司"
"7691","2086",2,2,"山东东方海洋科技股份有限公司"
"7695","2087",9,9,"河南新野纺织股份有限公司"
"7705","2088",1,2,"山东鲁阳节能材料股份有限公司"
"7708","2089",1,1,"新海宜科技集团股份有限公司"
"7710","2090",2,7,"江苏金智科技股份有限公司"
"7713","2091",6,9,"江苏国泰国际集团国贸股份有限公司"
"7721","2091",6,9,"江苏国泰国际集团股份有限公司"
"7722","2092",2,2,"新疆中泰化学股份有限公司"
"7726","2093",16,16,"国脉科技股份有限公司"
"7743","2095",8,8,"浙江网盛生意宝股份有限公司"
"7757","2096",2,2,"湖南南岭民用爆破器材股份有限公司"
"7760","2097",3,3,"山河智能装备股份有限公司"
"7764","2098",3,3,"福建浔兴拉链科技股份有限公司"
"7769","2099",2,2,"浙江海翔药业股份有限公司"
"7772","2100",3,5,"天康生物股份有限公司"
"7780","2101",3,3,"广东鸿图科技股份有限公司"
"7784","2103",1,7,"广博集团股份有限公司"
"7786","2104",4,5,"恒宝股份有限公司"
"7792","2105",1,1,"深圳信隆健康产业发展股份有限公司"
"7794","2106",3,3,"深圳莱宝高科技股份有限公司"
"7800","2107",1,1,"山东沃华医药科技股份有限公司"
"7802","2108",1,4,"沧州明珠塑料股份有限公司"
"7808","2110",4,4,"福建三钢闽光股份有限公司"
"7815","2111",4,11,"威海广泰空港设备股份有限公司"
"7831","2111",4,11,"威海广泰空港设备股份有限公司（羊亭采购）"
"7833","2112",1,1,"三变科技股份有限公司"
