,Symbol,FullName,source,bill_code,customer_code.y,b.fullname,flag
29135,601998,中信银行股份有限公司,2,b'NTEzMTQzNzk1MQ==',b'NTEzMTQzNzk1MQ==',中信银行股份有限公司南通经济技术开发区支行,1
29136,601998,中信银行股份有限公司,2,b'NDMxMTQxODA0MA==',b'NDMxMTQxODA0MA==',中信银行股份有限公司长春分行,1
29137,601998,中信银行股份有限公司,2,b'MDI4MTAzOTEyOQ==',b'MDI4MTAzOTEyOQ==',中信银行股份有限公司东城根街支行（员工）,1
29138,601998,中信银行股份有限公司,2,b'MzE3MDQwODYyOA==',b'MzE3MDQwODYyOA==',中信银行股份有限公司石家庄分行,1
29139,601998,中信银行股份有限公司,2,b'MDI4MTA1MzIzMQ==',b'MDI4MTA1MzIzMQ==',中信银行股份有限公司武成支行（员工）,1
29140,601998,中信银行股份有限公司,2,b'MDIyMjE0Mjg4MQ==',b'MDIyMjE0Mjg4MQ==',中信银行股份有限公司天津华苑支行,1
29141,601998,中信银行股份有限公司,2,b'MDIyMjMyMTExNA==',b'MDIyMjMyMTExNA==',中信银行股份有限公司天津广东路支行,1
29142,601998,中信银行股份有限公司,2,b'MDI4Njc3NDI2NQ==',b'MDI4Njc3NDI2NQ==',中信银行股份有限公司成都分行,1
29143,601998,中信银行股份有限公司,2,b'MDI4MTAzMzE1Ng==',b'MDI4MTAzMzE1Ng==',中信银行股份有限公司金牛支行(公用),1
29144,601998,中信银行股份有限公司,2,b'OTcxMDQyNjQ1Nw==',b'OTcxMDQyNjQ1Nw==',中信银行股份有限公司西宁分行,1
29145,601998,中信银行股份有限公司,2,b'NTc0MTUzNjM5OA==',b'NTc0MTUzNjM5OA==',中信银行股份有限公司宁波分行,1
29146,601998,中信银行股份有限公司,2,b'MDI3NjY4OTQ5OA==',b'MDI3NjY4OTQ5OA==',中信银行股份有限公司武汉分行,1
29147,601998,中信银行股份有限公司,2,b'ODMxMDAzOTYwOA==',b'ODMxMDAzOTYwOA==',中信银行股份有限公司宜宾支行（员工）,1
29148,601998,中信银行股份有限公司,2,b'MDI4MjA1NTk5NA==',b'MDI4MjA1NTk5NA==',中信银行股份有限公司成都分行营业部（公用）,1
29149,601998,中信银行股份有限公司,2,b'MDI4MTA1ODAwOA==',b'MDI4MTA1ODAwOA==',中信银行股份有限公司双楠支行（员工）,1
29150,601998,中信银行股份有限公司,2,b'MDI4MTA1MTIyMQ==',b'MDI4MTA1MTIyMQ==',中信银行股份有限公司新南路支行（员工）,1
29151,601998,中信银行股份有限公司,2,b'MDI4MTA1MDY4Mg==',b'MDI4MTA1MDY4Mg==',中信银行股份有限公司走马街支行（员工）,1
