,Symbol,FullName,source,bill_code,customer_code.y,b.fullname
118,000078,海王生物,1,b'NzU1MDA3NDExMA==',b'NzU1MDA3NDExMA==',深圳市海王生物工程股份有限公司
119,000090,天健集团,1,b'NzU1MDA4OTg2Mg==',b'NzU1MDA4OTg2Mg==',深圳市天健(集团)股份有限公司
120,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'MDI4NjIxMDM1OA==',深圳么么哒互联通信有限公司(四川分公司)
121,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NDUxMjA3NDQ4NQ==',TCL集团股份有限公司
122,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'MDI1MjcwNDIxOQ==',南京TCL电器销售有限公司
123,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'MDEwNTY1MzU3NA==',TCL集团股份有限公司
124,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'MDIxMzU5NTI4MQ==',深圳么么哒互联通信有限公司(上海分公司)
125,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzU1MjU1NDUxNw==',TCL集团股份有限公司
126,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NTMxMzQ5NDA0Nw==',深圳十分到家服务科技有限公司
127,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzU1MjU1NDcwNw==',TCL多媒体海外业务中心
128,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzUyMzQ5NjMyMw==',TCL集团股份有限公司
129,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzU1MjU1NDU2Nw==',TCL集团股份有限公司
130,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzU1MjU1NjA3NA==',深圳么么哒互联通信有限公司(广东分公司)
131,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzU1MjU1NDQ3OA==',TCL集团股份有限公司
132,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NDUxMzE3Njc0Mg==',TCL集团股份有限公司（集团总部-惠州）
133,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NzU1NjM3NTIxMQ==',深圳么么哒互联通信有限公司(深圳分公司)
134,000100,TCL集团,1,b'NzUyMzQ5NjMyMw==',b'NTkxNTIxODgwNQ==',深圳么么哒互联通信有限公司(福建分公司)
135,000153,丰原药业,1,b'OTkxMTE1OTg0Ng==',b'OTkxMTE1OTg0Ng==',安徽丰原药业股份有限公司
136,000155,川化股份,1,b'MDI4Njc3Mjk4Nw==',b'MDI4Njc3Mjk4Nw==',四川省新能源动力股份有限公司
137,000157,中联重科,1,b'MDI5NDg3Njg4Ng==',b'MDI5NDg3Njg4Ng==',中联重科股份有限公司
138,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NDMxMjkyMzI5OQ==',中联重科股份有限公司
139,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MDIzNTM3ODg0Ng==',中联重科股份有限公司
140,000157,中联重科,1,b'MzUxMTQ1MzU3OA==',b'MzUxMTQ1MzU3OA==',中联重科股份有限公司
141,000157,中联重科,1,b'MzUxMTQ1NjYzMg==',b'MzUxMTQ1NjYzMg==',中联重科股份有限公司
142,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMDE2MTY0NQ==',中联重科股份有限公司
143,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMjkwOTM2Mg==',中联重科股份有限公司
144,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzI1NTEyMw==',中联重科股份有限公司
145,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzM3MDI3MDUxNA==',中联重科股份有限公司
146,000157,中联重科,1,b'ODUxMTM3NTEyMw==',b'ODUxMTM3NTEyMw==',中联重科股份有限公司
147,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MDIxMzg3NDI5MQ==',中联重科股份有限公司
148,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MDI5NDg3ODc2MA==',中联重科股份有限公司
149,000157,中联重科,1,b'MzcxMjY2Mzg5MA==',b'MzcxMjY2Mzg5MA==',中联重科股份有限公司
150,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMDE2MTY1NQ==',中联重科股份有限公司
151,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzA4MzA1Mw==',中联重科股份有限公司
152,000157,中联重科,1,b'MDIzNTM3NTQ5NQ==',b'MDIzNTM3NTQ5NQ==',中联重科股份有限公司
153,000157,中联重科,1,b'MzE3MDMwMDE3NQ==',b'MzE3MDMwMDE3NQ==',中联重科股份有限公司
154,000157,中联重科,1,b'NTE2MDU3NzgwNg==',b'NTE2MDU3NzgwNg==',中联重科股份有限公司
155,000157,中联重科,1,b'NzMxMjAxNTc0NQ==',b'NzMxMjAxNjI0MQ==',中联重科股份有限公司
156,000157,中联重科,1,b'OTkxMTE1ODc4MA==',b'OTkxMTE1ODc4MA==',中联重科股份有限公司
157,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzA5MjE1NQ==',中联重科股份有限公司
158,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MzcxMjE1ODI3OQ==',中联重科股份有限公司
159,000157,中联重科,1,b'NzMxMjAxNTc0NQ==',b'NzMxMjAxNTc0NQ==',中联重科股份有限公司
160,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzI1NTE1NQ==',中联重科股份有限公司
161,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzI1NTE3Mw==',中联重科股份有限公司
162,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MDIzNDQyMTcxMg==',中联重科股份有限公司
163,000157,中联重科,1,b'MzE5MDI1MzYwNQ==',b'MzE5MDI1MzYwNQ==',中联重科股份有限公司
164,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMjgzNzg4Nw==',中联重科股份有限公司
165,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMjk2MjE0Nw==',中联重科股份有限公司
166,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MDI0NDQ3MjYzOQ==',中联重科股份有限公司
167,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzA5MjE4NQ==',中联重科股份有限公司
168,000157,中联重科,1,b'NTE5MjU3Mjk1OQ==',b'NTE5MjU3Mjk1OQ==',中联重科股份有限公司
169,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NTUxMzQ2MjIyMA==',中联重科股份有限公司
170,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMDE2MTY0MQ==',中联重科股份有限公司
171,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzI1NTAzNQ==',中联重科股份有限公司
172,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzI1NTE0OQ==',中联重科股份有限公司
173,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'ODUxMTM3NTY2Mg==',中联重科股份有限公司
174,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NDMxMjkyMzMwMA==',中联重科股份有限公司
175,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NTIzMTQzMTA5NQ==',中联重科股份有限公司
176,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMzI1NTExMQ==',中联重科股份有限公司
177,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'MzUxMTQ1NDgxMg==',中联重科股份有限公司
178,000157,中联重科,1,b'NTcxNzA4MDM2Mw==',b'NTcxNzA4MDM2Mw==',中联重科股份有限公司
179,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzkxMTI0MjAwNg==',中联重科股份有限公司
180,000157,中联重科,1,b'NTMyNTAzNzY5MQ==',b'NTMyNTAzNzY5MQ==',中联重科股份有限公司
181,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMDE2MTY1Mw==',中联重科股份有限公司
182,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzMxMDI5MTMyNQ==',中联重科股份有限公司
183,000157,中联重科,1,b'NzMxMzA4MzA1Mw==',b'NzU1MjM0ODc0MA==',中联重科股份有限公司
184,000158,常山北明,1,b'MzExMDEwMDAxNA==',b'MzExMDEwMDAxNA==',石家庄常山北明科技股份有限公司
185,000158,常山北明,1,b'MzExMDEwMDA3Mw==',b'MzExMDEwMDA3Mw==',石家庄常山纺织股份有限公司
186,000158,常山北明,1,b'MzExMDEwMDAyMQ==',b'MzExMDEwMDAyMQ==',石家庄常山纺织股份有限公司
187,000301,东方市场,1,b'NTEyNTg2MTY0Mg==',b'NTEyNTg2MTY0Mg==',江苏东方盛虹股份有限公司
188,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3Njc1MTQ3Mg==',美的集团股份有限公司
189,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3NDE3MjEyMg==',美的集团股份有限公司
190,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3NDE3MjEyNA==',美的集团股份有限公司
191,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3Njc0NDExMA==',美的集团股份有限公司
192,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3Mzc3MzMzOA==',美的集团股份有限公司
193,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3NTMwMTk4Mg==',美的集团股份有限公司
194,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3Njc0NTk3Nw==',美的集团股份有限公司
195,000333,美的集团,1,b'NzU3NTMwMTk4NA==',b'NzU3NTMwMTk4NA==',美的集团股份有限公司
196,000333,美的集团,1,b'NzU3NDE3MjEyNA==',b'NzU3NjM4NTE0Nw==',美的安川服务机器人有限公司
